case,clip,frame,split,top_points
Case-016,017,036,0,"[(116.82361497326207, 82.5296541889483), (198.59759001782535, 81.36145454545455)]"
Case-016,017,040,0,"[(116.23951515151518, 80.1932549019608), (197.42939037433166, 82.23760427807484)]"
Case-016,017,044,0,"[(117.99181461675582, 80.4853048128342), (197.72144028520498, 82.5296541889483)]"
Case-016,017,048,0,"[(114.77926559714794, 83.11375401069525), (194.80094117647064, 82.23760427807484)]"
Case-016,017,052,0,"[(119.16001426024955, 81.653504456328), (195.6770909090909, 83.98990374331547)]"
Case-016,017,056,0,"[(112.15081639928698, 88.07860249554369), (193.0486417112299, 83.69785383244208)]"
Case-016,017,060,0,"[(115.3633654188948, 83.69785383244208), (192.17249197860963, 83.40580392156865)]"
Case-016,017,064,0,"[(111.56671657754013, 89.24680213903743), (192.17249197860963, 88.07860249554369)]"
Case-016,017,068,0,"[(103.6813689839573, 86.03425311942956), (191.29634224598928, 86.03425311942956)]"
Case-016,017,072,0,"[(111.27466666666666, 83.98990374331547), (190.12814260249553, 86.32630303030304)]"
Case-016,017,076,0,"[(108.06211764705881, 90.70705169340464), (193.9247914438503, 85.15810338680924)]"
Case-016,017,080,0,"[(108.93826737967915, 92.16730124777189), (193.34069162210344, 88.07860249554369)]"
Case-016,017,084,0,"[(110.39851693404633, 88.66270231729052), (192.17249197860963, 91.87525133689839)]"
Case-016,017,088,0,"[(103.6813689839573, 90.70705169340464), (191.00429233511596, 85.74220320855615)]"
Case-016,017,092,0,"[(105.4336684491979, 90.41500178253119), (191.58839215686268, 88.07860249554369)]"
Case-016,017,096,0,"[(118.8679643493761, 81.653504456328), (193.9247914438503, 88.07860249554369)]"
Case-016,017,100,0,"[(102.22111942959005, 94.21165062388593), (192.17249197860963, 86.91040285204991)]"
Case-016,017,104,0,"[(120.62026381461676, 78.44095543672015), (194.2168413547237, 87.49450267379682)]"
Case-016,017,108,0,"[(119.74411408199639, 82.5296541889483), (196.84529055258477, 84.28195365418895)]"
Case-016,017,112,0,"[(117.40771479500891, 78.73300534759359), (198.30554010695195, 83.69785383244208)]"
Case-016,017,116,0,"[(117.40771479500891, 80.1932549019608), (194.2168413547237, 87.49450267379682)]"
Case-016,017,120,0,"[(116.82361497326207, 80.77735472370766), (194.80094117647064, 87.78655258467025)]"
Case-016,017,124,0,"[(118.5759144385027, 79.90120499108735), (198.88963992869876, 81.06940463458112)]"
Case-016,017,128,0,"[(117.11566488413543, 81.36145454545455), (195.96914081996434, 84.28195365418895)]"
Case-016,017,132,0,"[(114.48721568627451, 78.1489055258467), (196.2611907308378, 87.49450267379682)]"
Case-016,017,136,0,"[(116.23951515151518, 79.3171051693405), (192.75659180035655, 88.37065240641712)]"
Case-016,017,140,0,"[(120.03616399286987, 77.5648057040998), (195.6770909090909, 83.11375401069525)]"
Case-016,017,144,0,"[(118.8679643493761, 77.5648057040998), (191.00429233511596, 86.61835294117644)]"
Case-016,017,148,0,"[(111.56671657754013, 79.3171051693405), (194.80094117647064, 85.74220320855615)]"
Case-016,017,152,0,"[(108.93826737967915, 82.5296541889483), (195.09299108734407, 88.95475222816395)]"
Case-016,017,156,0,"[(109.81441711229941, 87.49450267379682), (193.34069162210344, 83.11375401069525)]"
Case-016,018,052,0,"[(209.4034367201425, 54.200812834224585)]"
Case-016,018,056,0,"[(217.2887843137255, 55.661062388591816)]"
Case-016,018,092,0,"[(220.20928342245983, 50.40416399286991)]"
Case-016,018,096,0,"[(210.27958645276297, 56.24516221033866)]"
Case-016,018,136,0,"[(205.3147379679146, 57.12131194295897)]"
Case-016,018,140,0,"[(206.48293761140818, 51.572363636363626)]"
Case-016,018,144,0,"[(211.4477860962567, 54.200812834224585)]"
Case-016,018,156,0,"[(221.6695329768271, 55.95311229946525)]"
Case-016,019,016,0,"[(126.75331194295899, 56.53721212121209)]"
Case-016,019,020,0,"[(130.84201069518718, 58.289511586452775)]"
Case-016,019,032,0,"[(133.47045989304803, 62.08616042780747)]"
Case-016,019,036,0,"[(118.8679643493761, 57.99746167557934), (137.85120855614971, 64.42255971479499)]"
Case-016,019,040,0,"[(134.9307094474153, 59.45771122994653)]"
Case-016,019,044,0,"[(132.8863600713012, 58.289511586452775)]"
Case-016,019,048,0,"[(127.04536185383245, 56.24516221033866)]"
Case-016,019,052,0,"[(111.27466666666666, 54.200812834224585), (127.04536185383245, 60.62591087344027)]"
Case-016,019,056,0,"[(114.77926559714794, 59.16566131907308), (133.1784099821747, 60.04181105169339)]"
Case-016,019,060,0,"[(127.04536185383245, 59.74976114081995)]"
Case-016,019,064,0,"[(130.2579108734403, 62.962310160427776)]"
Case-016,019,068,0,"[(124.70896256684492, 61.79411051693403)]"
Case-016,019,072,0,"[(127.04536185383245, 57.705411764705865)]"
Case-016,019,080,0,"[(126.46126203208556, 61.79411051693403)]"
Case-016,019,140,0,"[(116.23951515151518, 60.333860962566824), (131.7181604278075, 62.962310160427776)]"
Case-016,019,144,0,"[(116.82361497326207, 56.82926203208556), (132.8863600713012, 62.67026024955435)]"
Case-016,019,148,0,"[(129.38176114081998, 63.54640998217467)]"
Case-016,019,152,0,"[(124.70896256684492, 67.34305882352942)]"
Case-016,019,156,0,"[(110.98261675579322, 57.12131194295897), (129.08971122994652, 61.79411051693403)]"
Case-016,020,076,0,"[(153.32985383244207, 56.82926203208556)]"
Case-016,020,080,0,"[(127.92151158645277, 62.08616042780747)]"
Case-016,020,092,0,"[(154.4980534759358, 57.413361853832455)]"
Case-016,020,100,0,"[(271.31801782531187, 65.29870944741535)]"
Case-016,020,104,0,"[(270.1498181818182, 66.17485918003565)]"
Case-016,022,000,0,"[(146.6127058823529, 68.21920855614971), (215.53648484848486, 65.00665953654186)]"
Case-016,022,004,0,"[(152.74575401069518, 69.09535828877002), (222.54568270944742, 62.08616042780747)]"
Case-016,022,008,0,"[(147.78090552584675, 69.09535828877002)]"
Case-016,022,040,0,"[(228.38668092691617, 63.254360071301264)]"
Case-016,022,044,0,"[(227.80258110516934, 65.00665953654186)]"
Case-016,022,048,0,"[(229.55488057040998, 63.254360071301264)]"
Case-016,022,052,0,"[(161.50725133689846, 65.88280926916224), (232.76742959001777, 61.79411051693403)]"
Case-016,022,056,0,"[(160.92315151515152, 69.3874081996435), (229.84693048128338, 63.838459893048096)]"
Case-016,022,060,0,"[(230.43103030303027, 61.79411051693403)]"
Case-016,022,064,0,"[(233.3515294117647, 62.08616042780747)]"
Case-016,022,068,0,"[(234.22767914438498, 64.42255971479499)]"
Case-016,022,072,0,"[(238.90047771836, 63.838459893048096)]"
Case-016,022,076,0,"[(233.64357932263806, 59.45771122994653)]"
Case-016,022,080,0,"[(235.1038288770054, 60.62591087344027)]"
Case-016,022,084,0,"[(235.68792869875222, 65.59075935828878)]"
Case-016,022,088,0,"[(234.8117789661319, 63.254360071301264)]"
Case-016,022,092,0,"[(240.06867736185384, 63.54640998217467)]"
Case-016,022,096,0,"[(242.40507664884137, 60.62591087344027)]"
Case-016,022,100,0,"[(169.10054901960783, 70.55560784313725), (242.40507664884137, 62.67026024955435)]"
Case-016,022,104,0,"[(244.157376114082, 59.74976114081995)]"
Case-016,022,108,0,"[(171.14489839572195, 70.2635579322638)]"
Case-016,022,144,0,"[(252.91887344028524, 61.79411051693403)]"
Case-016,022,148,0,"[(251.1665739750445, 60.917960784313735)]"
Case-016,022,152,0,"[(249.70632442067736, 62.37821033868091)]"
Case-016,022,156,0,"[(245.90967557932262, 63.254360071301264)]"
Case-016,025,132,0,"[(132.8863600713012, 59.16566131907308)]"
Case-016,025,136,0,"[(186.62354367201416, 57.12131194295897)]"
Case-016,025,140,0,"[(134.9307094474153, 58.289511586452775)]"
Case-016,025,144,0,"[(137.5591586452763, 57.12131194295897)]"
Case-018,023,056,0,"[(207.43621910680727, 74.19384304090184)]"
Case-018,023,064,0,"[(198.9327937563233, 74.78028616852144), (211.8345425639544, 73.31417834947248)]"
Case-018,027,000,0,"[(178.7005058534471, 43.99202196849258), (196.29379968203506, 48.97678855325914)]"
Case-018,027,004,0,"[(182.21916461916467, 47.21745917040033)]"
Case-018,027,008,0,"[(189.25648215059982, 48.97678855325914)]"
Case-018,027,012,0,"[(194.53447029917612, 50.14967480849833)]"
Case-018,027,016,0,"[(193.94802717155656, 49.563231680878715)]"
Case-018,027,020,0,"[(191.0158115334585, 48.97678855325914)]"
Case-018,027,024,0,"[(190.4293684058389, 49.563231680878715)]"
Case-018,027,028,0,"[(190.4293684058389, 45.45812978754154)]"
Case-018,027,032,0,"[(186.03104494869203, 46.92423760659054)]"
Case-018,027,036,0,"[(185.44460182107235, 46.92423760659054)]"
Case-018,027,040,0,"[(185.44460182107235, 45.75135135135135)]"
Case-018,027,044,0,"[(193.94802717155656, 46.92423760659054)]"
Case-018,027,048,0,"[(140.58170255817316, 41.93947102182395), (193.94802717155656, 48.09712386182973)]"
Case-018,027,052,0,"[(189.84292527821944, 51.02933949992774)]"
Case-018,027,056,0,"[(179.28694898106664, 46.33779447897099), (191.89547622488803, 48.68356698944935)]"
Case-018,027,060,0,"[(183.39205087440382, 47.51068073421013)]"
Case-018,027,064,0,"[(188.96326058679003, 46.33779447897099)]"
Case-018,027,068,0,"[(189.25648215059982, 48.97678855325914)]"
Case-018,027,072,0,"[(186.03104494869203, 48.68356698944935)]"
Case-018,027,076,0,"[(186.32426651250188, 49.563231680878715)]"
Case-018,027,080,0,"[(188.6700390229802, 47.51068073421013)]"
Case-018,027,084,0,"[(187.2039312039312, 47.51068073421013)]"
Case-018,027,088,0,"[(188.6700390229802, 47.80390229801995)]"
Case-018,027,092,0,"[(185.44460182107235, 47.21745917040033)]"
Case-018,027,096,0,"[(188.96326058679003, 49.27001011706894)]"
Case-018,027,100,0,"[(191.30903309726835, 48.68356698944935)]"
Case-018,027,104,0,"[(185.44460182107235, 45.75135135135135)]"
Case-018,027,108,0,"[(186.9107096401214, 46.63101604278076)]"
Case-018,027,112,0,"[(184.56493712964297, 48.68356698944935)]"
Case-018,027,116,0,"[(185.44460182107235, 46.92423760659054)]"
Case-018,029,076,0,"[(121.20595461771933, 70.67518427518425)]"
Case-018,029,080,0,"[(119.73984679867036, 69.50229801994506)]"
Case-018,029,084,0,"[(117.39407428819196, 68.62263332851569)]"
Case-018,029,088,0,"[(112.70252926723516, 68.91585489232548)]"
Case-018,029,092,0,"[(113.58219395866458, 68.62263332851569)]"
Case-018,029,096,0,"[(108.59742737389796, 61.58531579708051)]"
Case-018,029,100,0,"[(113.58219395866458, 68.3294117647059)]"
Case-018,029,104,0,"[(118.56696054343112, 73.31417834947248)]"
Case-018,029,108,0,"[(144.66367972250325, 79.47183118947824)]"
Case-018,029,112,0,"[(153.46032663679725, 78.59216649804885)]"
Case-018,029,116,0,"[(118.56696054343112, 70.38196271137448), (151.4077756901286, 84.45659777424481)]"
Case-018,029,132,0,"[(108.01098424627838, 76.24639398757047)]"
Case-018,029,136,0,"[(112.11608613961558, 71.55484896661365)]"
Case-018,030,056,0,"[(105.95843329960977, 82.99048995519584)]"
Case-018,030,124,0,"[(116.51440959676255, 78.88538806185866)]"
Case-018,030,128,0,"[(114.75508021390377, 84.45659777424481)]"
Case-023,016,032,0,"[(238.33610194561388, 68.99305950620094)]"
Case-023,016,048,0,"[(273.5382864944818, 64.664922061668)]"
Case-023,016,064,0,"[(239.49027193082264, 70.72431448401409)]"
Case-023,016,068,0,"[(234.8735919899875, 67.83888952099214)]"
Case-023,016,096,0,"[(233.43087950847652, 71.58994197292067)]"
Case-023,016,124,0,"[(274.40391398338835, 64.664922061668)]"
Case-044,024,048,0,"[(161.88145229383622, 95.30965381367858)]"
Case-044,024,052,0,"[(165.5930199831129, 93.31111736560652)]"
Case-050,025,036,0,"[(186.06957621758386, 102.77269852222418)]"
Case-050,025,084,0,"[(182.56983497211206, 102.77269852222418)]"
Case-050,025,088,0,"[(188.69438215168773, 105.10585935253869)]"
Case-050,025,092,0,"[(195.98550974642066, 101.02282789948822)]"
Case-050,025,100,0,"[(130.94865160140304, 92.56511988959807)]"
Case-050,025,108,0,"[(129.19878097866712, 90.81524926686214)]"
Case-050,025,112,0,"[(125.99068483698464, 92.8567649933874)]"
Case-050,025,116,0,"[(128.32384566729922, 91.3985394744408)]"
Case-050,025,124,0,"[(189.27767235926623, 103.06434362601345)]"
Case-050,025,128,0,"[(187.236156632741, 101.60611810706689)]"
Case-052,017,000,0,"[(146.2030941691212, 57.9443507106294)]"
Case-052,017,004,0,"[(149.97420572507068, 58.814607223540825)]"
Case-052,017,140,0,"[(152.00480425519748, 60.55512024936371)]"
Case-052,017,144,0,"[(149.97420572507068, 58.52452171923704)]"
Case-052,019,004,0,"[(146.97046702317292, 87.58896256684493)]"
Case-052,019,008,0,"[(151.31014616755795, 93.95382531194299), (195.8641853832443, 73.99130124777187)]"
Case-052,019,012,0,"[(153.62464171122994, 90.7713939393939), (188.34207486631016, 74.28061319073085)]"
Case-052,019,016,0,"[(153.33532976827095, 89.61414616755789), (187.18482709447423, 72.83405347593582), (196.44280926916215, 70.80886987522283)]"
Case-052,019,020,0,"[(153.62464171122994, 91.06070588235295), (184.87033155080215, 76.59510873440286)]"
Case-052,019,024,0,"[(157.38569696969697, 90.7713939393939), (193.83900178253117, 72.2554295900178)]"
Case-052,019,028,0,"[(193.2603778966132, 72.5447415329768)]"
Case-052,019,032,0,"[(156.51776114081994, 94.24313725490197), (198.17868092691617, 70.80886987522283)]"
Case-052,019,036,0,"[(201.93973618538317, 72.2554295900178)]"
Case-052,019,040,0,"[(200.49317647058822, 74.28061319073085)]"
Case-052,019,052,0,"[(168.37955080213902, 88.74621033868092), (190.0779465240642, 80.35616399286985)]"
Case-052,019,056,0,"[(184.00239572192515, 82.9599714795009)]"
Case-052,019,060,0,"[(188.05276292335117, 80.64547593582888)]"
Case-052,019,064,0,"[(184.87033155080215, 82.9599714795009)]"
Case-052,019,068,0,"[(182.55583600713013, 83.2492834224599)]"
Case-052,019,072,0,"[(181.97721212121212, 82.9599714795009)]"
Case-052,019,076,0,"[(181.10927629233515, 80.93478787878787)]"
Case-052,019,080,0,"[(151.59945811051696, 86.7210267379679), (175.32303743315512, 80.06685204991089)]"
Case-052,019,084,0,"[(175.9016613190731, 76.01648484848484)]"
Case-052,019,088,0,"[(152.75670588235297, 86.7210267379679), (171.56198217468798, 79.48822816399284), (196.1534973262032, 72.2554295900178)]"
Case-052,019,092,0,"[(151.88877005347595, 90.7713939393939), (179.0840926916222, 76.88442067736187), (194.70693761140825, 74.28061319073085)]"
Case-052,019,096,0,"[(150.73152228163994, 91.92864171122991), (173.5871657754011, 74.56992513368981), (192.68175401069522, 77.17373262032088)]"
Case-052,019,100,0,"[(169.53679857397503, 78.90960427807485), (197.02143315508022, 72.2554295900178), (225.9526274509804, 72.5447415329768)]"
Case-052,019,104,0,"[(174.455101604278, 75.43786096256684), (196.7321212121212, 73.41267736185382)]"
Case-052,019,108,0,"[(176.1909732620321, 74.85923707664884)]"
Case-052,019,112,0,"[(174.455101604278, 78.33098039215689), (200.49317647058822, 70.51955793226381), (229.1350588235294, 65.89056684491979)]"
Case-052,019,120,0,"[(146.10253119429592, 98.293504456328), (173.008541889483, 76.30579679144385)]"
Case-052,019,124,0,"[(151.31014616755795, 91.06070588235295), (179.6627165775401, 80.93478787878787)]"
Case-052,019,128,0,"[(152.46739393939393, 94.82176114081994), (175.61234937611408, 82.67065953654188), (194.99624955436718, 75.43786096256684)]"
Case-052,019,132,0,"[(178.794780748663, 83.82790730837787)]"
Case-052,019,140,0,"[(179.0840926916222, 79.19891622103387)]"
Case-052,019,144,0,"[(180.24134046345804, 80.06685204991089)]"
Case-052,019,148,0,"[(176.48028520499116, 82.9599714795009)]"
Case-052,019,152,0,"[(176.7695971479501, 84.11721925133692)]"
Case-052,019,156,0,"[(174.74441354723706, 78.62029233511585)]"
Case-052,020,024,0,"[(177.8224141382367, 85.79255912379536)]"
Case-052,020,036,0,"[(157.51642883696985, 94.20503874860594)]"
Case-052,020,040,0,"[(162.15779690583085, 89.56367067974493)]"
Case-052,020,044,0,"[(164.76856644456515, 89.85375618404869)]"
Case-052,020,048,0,"[(160.12719837570415, 87.24298664531442)]"
Case-052,020,052,0,"[(162.73796791443849, 88.40332866252965)]"
Case-052,020,056,0,"[(161.86771140152706, 84.9223026108839)]"
Case-052,020,068,0,"[(105.59112356658756, 79.41067802911151)]"
Case-052,020,072,0,"[(102.69026852354945, 79.9908490377191)]"
Case-052,020,076,0,"[(99.49932797620752, 75.3494809688581), (131.9889044582344, 73.02879693442762)]"
Case-052,020,080,0,"[(96.01830192456175, 75.63956647316195)]"
Case-052,020,092,0,"[(134.59967399696876, 92.46452572278305), (155.48583030684318, 91.01409820126393), (187.68532128456638, 95.36538076582116)]"
Case-052,020,096,0,"[(178.40258514684433, 92.46452572278305)]"
Case-052,020,108,0,"[(149.68412022076697, 94.49512425290972)]"
Case-052,020,112,0,"[(147.07335068203267, 91.3041837055678)]"
Case-052,020,116,0,"[(145.33283765620976, 83.76196059366865)]"
Case-052,020,120,0,"[(141.851811604564, 81.44127655923816)]"
Case-052,020,124,0,"[(141.56172610026024, 80.86110555063055)]"
Case-052,020,128,0,"[(140.98155509165267, 81.44127655923816)]"
Case-052,020,132,0,"[(140.69146958734885, 83.18178958506105)]"
Case-052,020,136,0,"[(146.2030941691212, 86.08264462809917)]"
Case-052,020,140,0,"[(145.91300866481737, 80.86110555063055), (167.08925047899558, 85.50247361949155), (182.17369670279388, 89.27358517544113)]"
Case-052,020,144,0,"[(143.8824101346907, 79.41067802911151), (163.89830993165378, 82.0214475678458), (182.4637822070977, 90.1438416883525)]"
Case-052,020,148,0,"[(142.7220681174755, 79.41067802911151), (164.4784809402614, 84.9223026108839), (182.75386771140148, 84.34213160227631)]"
Case-052,020,152,0,"[(144.7526666476022, 82.89170408075724), (179.27284165975567, 85.50247361949155)]"
Case-052,020,156,0,"[(143.8824101346907, 82.89170408075724), (181.30344018988245, 87.53307214961822)]"
Case-052,021,008,0,"[(208.28139209013693, 74.4792244559467)]"
Case-052,021,012,0,"[(205.38053704709887, 73.60896794303525)]"
Case-052,021,052,0,"[(188.55557779747778, 68.09734336126284)]"
Case-052,021,056,0,"[(189.71591981469294, 68.67751436987047)]"
Case-052,021,060,0,"[(188.26549229317388, 68.38742886556665)]"
Case-052,021,092,0,"[(189.42583431038923, 68.67751436987047)]"
Case-052,021,100,0,"[(204.51028053418744, 70.70811289999713)]"
Case-052,022,000,0,"[(175.50173010380624, 81.731362063542)]"
