case,clip,frame,wkt_geoms
Case-001,4,12,"['LINESTRING (32.1524064171123 44.64220108584725, 26.27005347593584 95.36269747315997)', 'LINESTRING (35.82887700534759 40.9682818304282, 32.0187165775401 97.09760378821895)']"
Case-001,4,20,"['LINESTRING (32.1524064171123 45.05041433644935, 25.80213903743315 96.1791239743642)']"
Case-001,4,24,"['LINESTRING (31.81818181818181 44.64220108584725, 26.27005347593584 95.46475078581051)']"
Case-001,4,28,"['LINESTRING (33.82352941176471 43.00934808343879, 27.00534759358289 96.1791239743642)']"
Case-001,4,32,"['LINESTRING (34.02406417112299 44.02988120994408, 27.74064171122995 96.48528391231578)']"
Case-001,4,36,"['LINESTRING (34.09090909090909 44.02988120994408, 27.20588235294118 96.89349716291788)']"
Case-001,4,52,"['LINESTRING (32.08556149732621 44.8463077111483, 26.27005347593584 96.5873372249663)']"
Case-001,4,56,"['LINESTRING (31.48395721925133 46.88737396415889, 25.53475935828877 94.64832428460628)']"
Case-001,4,60,"['LINESTRING (33.8903743315508 43.41756133404092, 26.93850267379678 95.77091072376209)']"
Case-001,4,64,"['LINESTRING (32.95454545454545 44.74425439849777, 27.67379679144385 96.28117728701473)']"
Case-001,4,68,"['LINESTRING (31.75133689839572 45.25452096175043, 24.73262032085561 95.77091072376209)']"
Case-001,4,76,"['LINESTRING (36.49732620320857 39.84569539127241, 33.62299465240641 97.40376372617054)']"
Case-001,4,84,"['LINESTRING (32.55347593582889 42.7031881454872, 26.8048128342246 95.77091072376209)']"
Case-001,4,88,"['LINESTRING (33.08823529411764 41.07033514307874, 27.27272727272727 95.26064416050943)', 'LINESTRING (39.97326203208556 33.62044331959015, 36.96524064171123 98.01608360207368)', 'LINESTRING (48.59625668449198 25.25207168224681, 53.14171122994652 95.05653753520838)']"
Case-001,4,92,"['LINESTRING (34.89304812834224 36.68204269910601, 27.54010695187166 95.15859084785895)', 'LINESTRING (41.77807486631016 30.66089725272483, 45.25401069518718 98.42429685267582)', 'LINESTRING (48.46256684491979 26.06849818345104, 54.07754010695187 97.30171041352007)']"
Case-001,4,96,"['LINESTRING (34.35828877005347 39.23337551536924, 26.53743315508022 95.66885741111157)', 'LINESTRING (40.90909090909092 31.57937706657958, 37.2326203208556 98.93456341592849)']"
Case-001,4,100,"['LINESTRING (33.22192513368984 41.37649508103033, 25 94.44421765930522)']"
Case-001,4,104,"['LINESTRING (32.35294117647059 42.80524145813773, 26.06951871657754 95.05653753520838)']"
Case-001,4,108,"['LINESTRING (34.02406417112299 41.68265501898193, 26.93850267379678 98.11813691472426)']"
Case-001,4,112,"['LINESTRING (33.02139037433155 42.49908152018615, 27.27272727272727 96.1791239743642)']"
Case-001,4,116,"['LINESTRING (31.01604278074867 46.68326733885782, 24.33155080213904 95.05653753520838)']"
Case-001,4,120,"['LINESTRING (35.02673796791444 42.7031881454872, 28.87700534759358 96.07707066171368)']"
Case-001,5,0,"['LINESTRING (35.7620320855615 28.21161774911214, 25.53475935828877 91.99493815569255)']"
Case-001,5,4,"['LINESTRING (34.95989304812834 30.86500387802588, 24.86631016042781 95.05653753520838)']"
Case-001,5,8,"['LINESTRING (35.36096256684493 33.21223006898803, 25.60160427807486 93.72984447075152)', 'LINESTRING (43.24866310160429 23.31305874188677, 38.56951871657754 97.19965710086947)']"
Case-001,5,12,"['LINESTRING (33.75668449197862 35.25329632199861, 26.06951871657754 93.52573784545048)', 'LINESTRING (42.98128342245988 23.21100542923624, 36.76470588235294 95.66885741111157)']"
Case-001,5,16,"['LINESTRING (33.62299465240641 34.8450830713965, 24.66577540106951 92.70931134424623)']"
Case-001,5,32,"['LINESTRING (34.35828877005347 34.94713638404703, 25.73529411764706 94.24011103400419)']"
Case-001,5,36,"['LINESTRING (34.89304812834224 33.92660325754174, 27.00534759358289 95.15859084785895)', 'LINESTRING (42.44652406417112 24.12948524309099, 35.6951871657754 95.77091072376209)']"
Case-001,5,60,"['LINESTRING (34.15775401069519 33.62044331959015, 23.46256684491978 94.54627097195576)']"
Case-001,5,64,"['LINESTRING (33.42245989304813 34.53892313344492, 24.13101604278075 93.21957790749886)']"
Case-001,5,68,"['LINESTRING (32.21925133689839 35.45740294729966, 21.32352941176471 90.66824509123566)']"
Case-001,6,0,"['LINESTRING (34.02406417112299 35.15124300934808, 25.73529411764706 93.62779115810099)', 'LINESTRING (44.9197860962567 73.93150181654897, 46.3235294117647 98.22019022737477)']"
Case-001,6,4,"['LINESTRING (33.02139037433155 35.45740294729966, 23.66310160427808 95.36269747315997)', 'LINESTRING (44.98663101604279 75.36024819365636, 45.85561497326204 99.03661672857901)']"
Case-001,6,8,"['LINESTRING (43.58288770053475 77.40131444666693, 44.11764705882354 98.83251010327798)']"
Case-001,6,12,"['LINESTRING (46.45721925133689 82.70808670449439, 45.78877005347593 99.44482997918112)']"
Case-001,6,16,"['LINESTRING (45.38770053475935 80.97318038943544, 44.51871657754012 99.44482997918112)']"
Case-001,6,20,"['LINESTRING (41.64438502673796 74.03355512919948, 40.37433155080213 98.93456341592849)']"
Case-001,6,24,"['LINESTRING (32.62032085561498 36.06972282320283, 26.93850267379678 93.83189778340201)', 'LINESTRING (46.05614973262033 74.74792831775315, 46.18983957219251 99.64893660448215)']"
Case-001,6,28,"['LINESTRING (46.72459893048128 74.95203494305422, 47.05882352941176 98.52635016532636)', 'LINESTRING (34.89304812834224 34.94713638404703, 27.67379679144385 94.54627097195576)']"
Case-001,6,32,"['LINESTRING (33.15508021390374 36.06972282320283, 25.20053475935829 94.64832428460628)', 'LINESTRING (45.92245989304812 75.87051475690902, 46.72459893048128 99.7509899171327)']"
Case-001,6,36,"['LINESTRING (44.31818181818182 75.36024819365636, 45.05347593582888 98.01608360207368)']"
Case-001,6,52,"['LINESTRING (46.65775401069517 76.78899457076378, 46.99197860962566 97.50581703882108)', 'LINESTRING (34.42513368983957 36.06972282320283, 26.87165775401069 95.66885741111157)']"
Case-001,6,56,"['LINESTRING (34.75935828877006 35.45740294729966, 27.40641711229947 94.85243090990731)', 'LINESTRING (47.52673796791444 74.54382169245214, 48.26203208556149 99.44482997918112)']"
Case-001,6,60,"['LINESTRING (33.55614973262033 37.09025594970814, 24.46524064171123 93.83189778340201)', 'LINESTRING (46.72459893048128 76.27872800751111, 46.85828877005346 97.70992366412214)']"
Case-001,6,80,"['LINESTRING (33.68983957219251 35.25329632199861, 25.40106951871658 91.99493815569255)', 'LINESTRING (45.52139037433155 73.52328856594684, 46.59090909090908 98.22019022737477)']"
Case-001,6,84,"['LINESTRING (34.29144385026738 33.72249663224069, 25.53475935828877 93.72984447075152)', 'LINESTRING (45.12032085561497 73.42123525329632, 45.25401069518718 96.99555047556844)']"
Case-001,6,88,"['LINESTRING (33.15508021390374 35.04918969669756, 25.33422459893049 92.40315140629465)', 'LINESTRING (44.11764705882354 73.82944850389842, 44.71925133689842 98.3222435400253)']"
Case-001,6,92,"['LINESTRING (42.91443850267378 75.66640813160794, 42.51336898395722 99.95509654243376)']"
Case-001,6,96,"['LINESTRING (41.44385026737967 77.09515450871535, 39.97326203208556 100.0571498550843)']"
Case-001,6,100,"['LINESTRING (43.85026737967914 79.03416744907538, 43.38235294117646 96.5873372249663)']"
Case-001,6,104,"['LINESTRING (45.45454545454546 75.66640813160794, 46.05614973262033 99.03661672857901)']"
Case-001,6,108,"['LINESTRING (45.52139037433155 73.31918194064578, 46.99197860962566 98.62840347797692)', 'LINESTRING (35.16042780748664 34.13070988284279, 27.20588235294118 93.83189778340201)']"
Case-001,6,112,"['LINESTRING (46.12299465240643 74.54382169245214, 46.99197860962566 99.03661672857901)', 'LINESTRING (34.09090909090909 34.8450830713965, 25.86898395721925 95.05653753520838)']"
Case-001,6,116,"['LINESTRING (44.38502673796791 76.38078132016165, 44.71925133689842 97.30171041352007)']"
Case-001,6,120,"['LINESTRING (39.17112299465241 70.25758256112991, 41.3770053475936 97.91403028942321)', 'LINESTRING (47.86096256684493 80.4629138261828, 48.86363636363637 99.44482997918112)']"
Case-001,6,128,"['LINESTRING (49.86631016042781 81.07523370208597, 50.73529411764706 96.99555047556844)']"
Case-001,7,0,"['LINESTRING (38.70320855614974 29.84447075152059, 33.42245989304813 97.81197697677267)', 'LINESTRING (49.79946524064171 29.02804425031637, 57.82085561497328 95.36269747315997)']"
Case-001,7,4,"['LINESTRING (36.96524064171123 29.64036412621955, 29.94652406417111 97.19965710086947)', 'LINESTRING (39.17112299465241 29.02804425031637, 34.95989304812834 96.99555047556844)', 'LINESTRING (47.79411764705882 29.23215087561742, 54.81283422459893 96.28117728701473)']"
Case-001,7,8,"['LINESTRING (39.57219251336898 28.31367106176267, 32.48663101604279 97.50581703882108)', 'LINESTRING (46.3903743315508 29.74241743887006, 51.67112299465241 96.5873372249663)']"
Case-001,7,12,"['LINESTRING (34.49197860962567 30.04857737682165, 23.39572192513369 93.52573784545048)', 'LINESTRING (38.56951871657754 29.74241743887006, 30.14705882352941 97.81197697677267)', 'LINESTRING (46.05614973262033 31.88553700453117, 49.53208556149733 96.99555047556844)', 'LINESTRING (50.53475935828877 30.55884394007429, 57.0187165775401 96.79144385026737)']"
Case-001,7,16,"['LINESTRING (37.5 30.15063068947218, 28.67647058823529 97.70992366412214)', 'LINESTRING (46.52406417112302 30.04857737682165, 50.53475935828877 96.5873372249663)']"
Case-001,7,20,"['LINESTRING (38.83689839572193 29.43625750091848, 30.81550802139037 96.38323059966524)', 'LINESTRING (40.77540106951873 28.31367106176267, 33.62299465240641 96.79144385026737)', 'LINESTRING (48.52941176470588 29.94652406417114, 53.5427807486631 95.97501734906315)']"
Case-001,7,24,"['LINESTRING (38.97058823529412 28.82393762501531, 32.95454545454545 96.99555047556844)', 'LINESTRING (49.79946524064171 30.45679062742377, 58.15508021390373 94.54627097195576)']"
Case-001,7,28,"['LINESTRING (38.43582887700534 30.04857737682165, 31.41711229946524 96.79144385026737)', 'LINESTRING (49.06417112299467 29.64036412621955, 55.81550802139037 95.97501734906315)']"
Case-001,7,32,"['LINESTRING (38.97058823529412 29.02804425031637, 34.09090909090909 97.81197697677267)', 'LINESTRING (48.72994652406418 30.45679062742377, 55.3475935828877 97.40376372617054)']"
Case-001,7,36,"['LINESTRING (37.7673796791444 30.04857737682165, 32.48663101604279 97.30171041352007)', 'LINESTRING (48.39572192513369 29.1300975629669, 53.34224598930483 96.79144385026737)']"
Case-001,7,40,"['LINESTRING (37.96791443850267 29.64036412621955, 29.67914438502674 96.79144385026737)', 'LINESTRING (46.25668449197862 30.86500387802588, 52.13903743315507 97.60787035147158)', 'LINESTRING (51.00267379679144 29.53831081356901, 58.22192513368984 94.64832428460628)']"
Case-001,7,44,"['LINESTRING (34.42513368983957 31.37527044127852, 24.39839572192513 93.93395109605257)', 'LINESTRING (37.90106951871658 29.64036412621955, 30.54812834224598 96.28117728701473)', 'LINESTRING (39.97326203208556 29.84447075152059, 34.95989304812834 97.70992366412214)', 'LINESTRING (47.25935828877006 30.15063068947218, 50.53475935828877 97.60787035147158)', 'LINESTRING (51.40374331550801 29.53831081356901, 57.95454545454546 96.07707066171368)']"
Case-001,7,48,"['LINESTRING (38.70320855614974 29.53831081356901, 32.0187165775401 96.89349716291788)', 'LINESTRING (40.50802139037434 29.33420418826795, 35.7620320855615 99.13867004122953)', 'LINESTRING (48.32887700534759 29.23215087561742, 55.74866310160427 95.97501734906315)']"
Case-001,7,52,"['LINESTRING (39.43850267379678 29.53831081356901, 34.82620320855615 96.79144385026737)', 'LINESTRING (49.79946524064171 30.35473731477324, 58.35561497326203 95.15859084785895)']"
Case-001,7,56,"['LINESTRING (39.57219251336898 29.43625750091848, 34.09090909090909 97.70992366412214)', 'LINESTRING (50.26737967914438 29.23215087561742, 60.02673796791444 97.70992366412214)']"
Case-001,7,60,"['LINESTRING (38.56951871657754 29.84447075152059, 30.28074866310161 96.5873372249663)', 'LINESTRING (48.93048128342245 30.76295056537536, 56.01604278074864 96.38323059966524)']"
Case-001,7,64,"['LINESTRING (37.96791443850267 30.55884394007429, 32.68716577540106 96.38323059966524)', 'LINESTRING (40.24064171122994 28.72188431236479, 38.16844919786097 97.50581703882108)', 'LINESTRING (48.19518716577541 30.25268400212272, 55.54812834224598 95.56680409846103)', 'LINESTRING (51.67112299465241 28.82393762501531, 61.36363636363637 93.32163122014944)']"
Case-001,7,68,"['LINESTRING (38.36898395721926 28.92599093766584, 33.68983957219251 97.91403028942321)', 'LINESTRING (40.44117647058824 27.90545781116055, 37.03208556149733 98.11813691472426)', 'LINESTRING (52.13903743315507 27.90545781116055, 63.56951871657755 94.13805772135363)']"
Case-001,7,72,"['LINESTRING (39.90641711229946 28.00751112381108, 32.48663101604279 96.89349716291788)', 'LINESTRING (43.04812834224598 26.57876474670368, 36.43048128342246 98.83251010327798)', 'LINESTRING (53.67647058823529 26.37465812140262, 67.44652406417111 93.62779115810099)']"
Case-001,7,76,"['LINESTRING (35.7620320855615 29.74241743887006, 26.40374331550802 93.83189778340201)', 'LINESTRING (40.77540106951873 28.31367106176267, 35.56149732620322 99.34277666653057)', 'LINESTRING (43.31550802139037 26.57876474670368, 39.57219251336898 98.93456341592849)', 'LINESTRING (53.14171122994652 26.78287137200474, 64.43850267379678 91.17851165448829)']"
Case-001,7,80,"['LINESTRING (37.03208556149733 29.94652406417114, 29.87967914438502 96.99555047556844)', 'LINESTRING (41.1764705882353 27.90545781116055, 38.77005347593583 96.79144385026737)']"
Case-001,7,84,"['LINESTRING (39.17112299465241 28.61983099971425, 36.69786096256685 98.3222435400253)', 'LINESTRING (41.57754010695188 27.19108462260686, 40.70855614973262 97.40376372617054)', 'LINESTRING (51.67112299465241 26.78287137200474, 63.56951871657755 94.13805772135363)']"
Case-001,7,88,"['LINESTRING (41.97860962566845 27.08903130995633, 38.70320855614974 98.11813691472426)', 'LINESTRING (51.87165775401068 25.76233824549945, 60.89572192513371 93.93395109605257)']"
Case-001,7,92,"['LINESTRING (41.3770053475936 26.98697799730579, 37.7673796791444 98.52635016532636)']"
Case-001,7,96,"['LINESTRING (35.82887700534759 29.64036412621955, 26.33689839572192 95.46475078581051)', 'LINESTRING (41.3770053475936 28.41572437441319, 36.43048128342246 96.38323059966524)', 'LINESTRING (53.00802139037432 26.68081805935422, 62.03208556149733 93.32163122014944)']"
Case-001,7,100,"['LINESTRING (38.63636363636363 30.04857737682165, 29.41176470588236 97.81197697677267)', 'LINESTRING (41.31016042780747 28.21161774911214, 36.76470588235294 98.3222435400253)', 'LINESTRING (51.60427807486629 26.47671143405315, 63.30213903743318 92.19904478099356)']"
Case-001,7,104,"['LINESTRING (35.56149732620322 30.15063068947218, 24.26470588235294 94.13805772135363)', 'LINESTRING (38.56951871657754 28.72188431236479, 32.0187165775401 96.99555047556844)', 'LINESTRING (41.24331550802138 28.00751112381108, 35.49465240641711 98.01608360207368)', 'LINESTRING (51.5374331550802 27.59929787320897, 63.97058823529412 92.70931134424623)']"
Case-001,7,108,"['LINESTRING (35.7620320855615 29.74241743887006, 24.19786096256684 93.72984447075152)', 'LINESTRING (41.31016042780747 27.49724456055843, 36.09625668449198 98.93456341592849)']"
Case-001,7,112,"['LINESTRING (40.57486631016043 28.61983099971425, 35.62834224598931 96.79144385026737)', 'LINESTRING (49.59893048128342 27.80340449851002, 58.02139037433155 95.26064416050943)']"
Case-001,7,116,"['LINESTRING (35.29411764705883 30.45679062742377, 26.40374331550802 94.85243090990731)', 'LINESTRING (41.04278074866311 27.80340449851002, 36.96524064171123 98.11813691472426)', 'LINESTRING (49.79946524064171 26.57876474670368, 59.15775401069517 95.36269747315997)']"
Case-001,7,120,"['LINESTRING (35.49465240641711 29.53831081356901, 25.66844919786097 95.66885741111157)', 'LINESTRING (40.10695187165776 29.1300975629669, 36.56417112299466 98.22019022737477)', 'LINESTRING (49.86631016042781 29.02804425031637, 57.75401069518716 94.95448422255785)']"
Case-001,7,124,"['LINESTRING (40.24064171122994 28.31367106176267, 34.69251336898395 97.30171041352007)']"
Case-001,7,128,"['LINESTRING (35.22727272727273 28.61983099971425, 23.86363636363637 94.44421765930522)', 'LINESTRING (40.57486631016043 27.80340449851002, 32.88770053475936 98.83251010327798)', 'LINESTRING (51.06951871657755 28.00751112381108, 60.82887700534758 91.58672490509045)']"
Case-001,9,0,"['LINESTRING (42.37967914438503 39.53953545332082, 41.57754010695188 95.26064416050943)', 'LINESTRING (51.27005347593582 29.64036412621955, 58.82352941176471 92.70931134424623)']"
Case-001,9,4,"['LINESTRING (50.73529411764706 28.31367106176267, 60.36096256684491 93.01547128219779)']"
Case-001,9,8,"['LINESTRING (49.6657754010695 28.41572437441319, 56.41711229946525 95.87296403641264)']"
Case-001,9,12,"['LINESTRING (49.59893048128342 28.92599093766584, 55.61497326203209 94.7503775972568)']"
Case-001,9,20,"['LINESTRING (45.05347593582888 30.86500387802588, 47.39304812834224 97.09760378821895)']"
Case-001,9,28,"['LINESTRING (39.10427807486631 36.2738294485039, 36.36363636363637 96.89349716291788)', 'LINESTRING (52.0053475935829 27.49724456055843, 56.81818181818182 95.15859084785895)']"
Case-001,9,44,"['LINESTRING (41.1096256684492 36.37588276115442, 39.57219251336898 98.11813691472426)', 'LINESTRING (52.94117647058824 27.59929787320897, 62.23262032085562 93.93395109605257)']"
Case-001,9,48,"['LINESTRING (40.50802139037434 37.19230926235865, 38.16844919786097 97.91403028942321)', 'LINESTRING (52.80748663101603 26.98697799730579, 61.43048128342245 92.81136465689676)']"
Case-001,9,52,"['LINESTRING (40.37433155080213 37.19230926235865, 37.29946524064171 98.11813691472426)', 'LINESTRING (53.07486631016043 27.08903130995633, 60.09358288770053 92.81136465689676)']"
Case-001,9,56,"['LINESTRING (40.44117647058824 38.21284238886394, 38.83689839572193 99.64893660448215)', 'LINESTRING (51.60427807486629 27.90545781116055, 60.62834224598932 92.70931134424623)']"
Case-001,9,60,"['LINESTRING (54.27807486631016 25.45617830754786, 63.56951871657755 93.01547128219779)']"
Case-001,9,68,"['LINESTRING (39.77272727272727 38.62105563946606, 37.5668449197861 96.89349716291788)', 'LINESTRING (52.54010695187167 26.98697799730579, 58.48930481283422 95.05653753520838)']"
Case-001,9,72,"['LINESTRING (50 30.15063068947218, 57.41978609625669 93.01547128219779)', 'LINESTRING (54.61229946524065 27.08903130995633, 64.5053475935829 93.32163122014944)']"
Case-001,9,76,"['LINESTRING (40.30748663101603 38.51900232681554, 35.56149732620322 96.99555047556844)', 'LINESTRING (52.47326203208556 27.70135118585949, 59.82620320855615 94.03600440870309)']"
Case-001,9,80,"['LINESTRING (49.6657754010695 29.94652406417114, 56.14973262032087 95.36269747315997)', 'LINESTRING (53.40909090909089 27.29313793525738, 62.5 94.64832428460628)']"
Case-001,9,88,"['LINESTRING (50.53475935828877 29.02804425031637, 55.4144385026738 96.79144385026737)']"
Case-001,9,92,"['LINESTRING (39.83957219251336 39.13132220271869, 37.90106951871658 97.19965710086947)', 'LINESTRING (49.59893048128342 30.35473731477324, 54.47860962566845 96.38323059966524)', 'LINESTRING (52.94117647058824 28.51777768706373, 60.62834224598932 95.97501734906315)']"
Case-001,9,96,"['LINESTRING (48.79679144385027 32.19169694248276, 51.93850267379678 96.99555047556844)', 'LINESTRING (52.67379679144385 28.00751112381108, 61.09625668449197 93.93395109605257)']"
Case-001,9,100,"['LINESTRING (51.47058823529412 30.76295056537536, 55.01336898395722 96.38323059966524)']"
Case-001,9,104,"['LINESTRING (49.86631016042781 30.15063068947218, 55.4144385026738 94.95448422255785)']"
Case-001,9,112,"['LINESTRING (50.73529411764706 30.04857737682165, 56.75133689839573 96.07707066171368)']"
Case-001,9,120,"['LINESTRING (50.06684491978609 30.45679062742377, 56.68449197860963 95.15859084785895)']"
Case-001,9,124,"['LINESTRING (49.53208556149733 30.04857737682165, 53.87700534759357 95.87296403641264)']"
Case-001,9,128,"['LINESTRING (51.40374331550801 31.88553700453117, 57.28609625668448 94.7503775972568)']"
Case-001,10,0,"['LINESTRING (45.72192513368984 81.48344695268807, 45.58823529411764 99.34277666653057)']"
Case-001,10,4,"['LINESTRING (39.37165775401069 69.74731599787728, 36.63101604278074 98.01608360207368)', 'LINESTRING (44.11764705882354 80.56496713883334, 44.18449197860964 99.24072335388006)']"
Case-001,10,8,"['LINESTRING (41.57754010695188 81.78960689063966, 41.57754010695188 99.34277666653057)']"
Case-001,10,48,"['LINESTRING (46.99197860962566 80.76907376413438, 47.19251336898397 98.22019022737477)']"
Case-001,10,52,"['LINESTRING (46.18983957219251 79.34032738702697, 46.99197860962566 99.03661672857901)']"
Case-001,10,56,"['LINESTRING (41.44385026737967 68.62472955872147, 40.04010695187166 97.91403028942321)', 'LINESTRING (45.12032085561497 78.31979426052169, 45.12032085561497 98.11813691472426)']"
Case-001,10,60,"['LINESTRING (46.3235294117647 77.50336775931747, 47.39304812834224 98.11813691472426)', 'LINESTRING (50.3342245989305 80.97318038943544, 51.87165775401068 97.19965710086947)']"
Case-001,10,88,"['LINESTRING (55.01336898395722 67.19598318161408, 61.76470588235294 94.03600440870309)']"
Case-001,10,112,"['LINESTRING (46.45721925133689 27.80340449851002, 49.86631016042781 97.81197697677267)']"
Case-001,10,116,"['LINESTRING (45.32085561497326 27.49724456055843, 48.52941176470588 96.99555047556844)']"
Case-001,11,0,"['LINESTRING (42.91443850267378 29.94652406417114, 43.98395721925134 96.28117728701473)']"
Case-001,11,4,"['LINESTRING (42.71390374331551 30.04857737682165, 41.91176470588236 95.87296403641264)']"
Case-001,11,12,"['LINESTRING (43.98395721925134 30.25268400212272, 45.52139037433155 95.46475078581051)']"
Case-001,11,16,"['LINESTRING (43.44919786096257 29.94652406417114, 43.24866310160429 97.30171041352007)']"
Case-001,11,20,"['LINESTRING (43.64973262032086 29.02804425031637, 42.5802139037433 97.40376372617054)']"
Case-001,11,24,"['LINESTRING (42.51336898395722 30.66089725272483, 41.44385026737967 99.64893660448215)']"
Case-001,11,36,"['LINESTRING (44.31818181818182 29.23215087561742, 46.45721925133689 97.50581703882108)']"
Case-001,11,40,"['LINESTRING (43.51604278074866 30.15063068947218, 46.92513368983957 100.0571498550843)']"
Case-001,11,44,"['LINESTRING (43.51604278074866 28.61983099971425, 44.11764705882354 97.19965710086947)']"
Case-001,11,48,"['LINESTRING (41.1764705882353 31.06911050332695, 40.44117647058824 96.1791239743642)', 'LINESTRING (52.20588235294118 27.49724456055843, 61.09625668449197 96.07707066171368)']"
Case-001,11,52,"['LINESTRING (42.24598930481282 30.04857737682165, 41.97860962566845 99.34277666653057)']"
Case-001,11,64,"['LINESTRING (43.98395721925134 29.94652406417114, 48.19518716577541 96.28117728701473)']"
Case-001,11,68,"['LINESTRING (43.91711229946525 29.1300975629669, 46.3235294117647 95.56680409846103)']"
Case-001,11,72,"['LINESTRING (42.5802139037433 29.43625750091848, 41.1096256684492 96.89349716291788)']"
Case-001,11,76,"['LINESTRING (41.44385026737967 31.06911050332695, 40.04010695187166 99.03661672857901)']"
Case-001,11,80,"['LINESTRING (44.58556149732622 30.15063068947218, 46.65775401069517 98.52635016532636)']"
Case-001,11,92,"['LINESTRING (41.97860962566845 30.66089725272483, 41.71122994652406 96.1791239743642)']"
Case-001,11,96,"['LINESTRING (43.31550802139037 30.25268400212272, 43.58288770053475 98.83251010327798)']"
Case-001,11,100,"['LINESTRING (42.11229946524064 30.96705719067642, 42.8475935828877 98.83251010327798)']"
Case-001,11,104,"['LINESTRING (41.04278074866311 29.74241743887006, 38.83689839572193 96.28117728701473)', 'LINESTRING (51.27005347593582 28.82393762501531, 60.36096256684491 92.91341796954728)']"
Case-001,11,108,"['LINESTRING (41.91176470588236 30.45679062742377, 40.77540106951873 98.01608360207368)']"
